primary_keyword,page_type,cluster,pillar_slug,volume,kd,intent,secondary_keywords,status,brief_maker,notes,content_format
yoga clothes for men,cluster,men-yoga-gear,yoga-for-men,2400,0,commercial,"mens yoga clothes,yoga wear for men,best yoga clothes for men",done,codex,"Live 2026-07-26 as /guides/yoga-clothes-for-men; DFS volume 2400 KD0; broad outfit and first-class intent separated from the long-pants roundup; source-checked guide without affiliate or hands-on claims",guide
yoga for men,pillar,yoga-for-men,yoga-for-men,1600,12,informational,"beginner yoga for men,yoga for men flexibility,yoga poses for men",todo,,volume/KD not provided; pillar seed from niche note,
best yoga mat for hot yoga,subpillar,gear/mats,yoga-for-beginners,4400,0,commercial,"hot yoga mat,best hot yoga mat,best mat for hot yoga,best non slip yoga mat for hot yoga,best mat for sweaty hands",done,,affiliate low KD seed; user seed brief: content-briefs/seed-best-yoga-mat-for-hot-yoga.md; likely primary hot-yoga mat page; live per 2026-05-29 audit,roundup
best yoga app,subpillar,apps,yoga-for-beginners,1300,17,commercial,"best yoga app for beginners,best free yoga app,yoga app reviews",done,codex,"Live 2026-07-26 as /guides/best-yoga-app; DFS volume 1300 KD17; live SERP refreshed 2026-07-26; official-source feature comparison with dated price snapshots and no unverified affiliate claims",roundup
best non-slip yoga mat,subpillar,gear/mats,yoga-for-beginners,880,1,commercial,"non slip yoga mat,best grippy yoga mat,best yoga mat for sweaty hands",done,,"affiliate mat angle; avoid cannibalisation with hot yoga mat pages; live 2026-07-25 als /guides/best-non-slip-yoga-mat (5 picks, PRO-anti-pick, fix-eigen-mat-sectie)",
best thick yoga mat,subpillar,gear/mats,how-to-choose-a-yoga-mat,1000,14,commercial,"thick yoga mat,best cushioned yoga mat,6mm yoga mat,extra thick yoga mat",done,codex,"Live 2026-07-26 as /guides/best-thick-yoga-mat; DataForSEO volume 1000 KD14; distinct roundup intent; dense-versus-soft differentiation",roundup
best yoga bolster,subpillar,gear/bolsters,yoga-for-beginners,390,0,commercial,"yoga bolster,best bolster for yoga,restorative yoga bolster",done,,affiliate prop seed; good fit for restorative and yoga nidra content,
best yoga books,cluster,books,yoga-for-beginners,590,0,commercial,"best books about yoga,yoga books for beginners,best yoga philosophy books",done,codex,"Live 2026-07-26 as /guides/best-yoga-books; DFS volume 590 KD0; SERP refreshed 2026-07-26; source-checked use-case roundup",roundup
lululemon yoga mat,review,brand-yoga-mats,how-to-choose-a-yoga-mat,27100,6,commercial,"lululemon yoga mat review,lululemon the mat,lululemon yoga mat vs manduka",done,,brand review high-intent seed; verify official specs and pricing,review
retrospec solana yoga mat,review,brand-yoga-mats,how-to-choose-a-yoga-mat,14000,2,commercial,"retrospec solana yoga mat review,retrospec yoga mat,solana yoga mat",done,,brand review high-intent seed; published 2026-06-14 research-based; ASIN B0CLCB23V1,review
manduka yoga mat,review,brand-yoga-mats,how-to-choose-a-yoga-mat,33100,0,commercial,"manduka yoga mat review,manduka pro yoga mat,manduka pro vs eko",done,,brand lineup review (PRO/eKO/GRP/PROlite); published 2026-06-14 research-based,review
alo yoga mat,review,brand-yoga-mats,yoga-mat-reviews,12100,2,commercial,"alo yoga mat review,alo warrior mat,alo yoga mat vs lululemon",done,,"live 2026-07-26 als /reviews/alo (Alo Warrior Mat, research-review, affiliateSlug null - Alo verkoopt direct); volume HERMETEN 26 jul: 12100 bevestigd (eigen reeks, dec-piek 22200) + satellieten alo mat 1900 / warrior-varianten 720+880; kd 2 via alo yoga warrior mat",
gaiam yoga mat,review,brand-yoga-mats,how-to-choose-a-yoga-mat,18100,3,commercial,"gaiam yoga mat review,gaiam premium yoga mat,gaiam yoga mat for beginners",done,,budget beginner brand review (Premium 6mm); published 2026-06-14 research-based,review
jade yoga mat,review,brand-yoga-mats,how-to-choose-a-yoga-mat,8100,0,commercial,"jade yoga mat review,jade harmony yoga mat,jade vs manduka",done,,Jade Harmony eco-rubber review (grip headline); published 2026-06-14 research-based,review
liforme yoga mat,review,brand-yoga-mats,yoga-mat-reviews,12100,0,commercial,"liforme yoga mat review,liforme original yoga mat,liforme vs manduka",done,,brand review seed; volume not provided,
manduka vs lululemon yoga mat,comparison,mat-comparisons,how-to-choose-a-yoga-mat,170,1,commercial,"manduka vs lululemon,lululemon vs manduka yoga mat,manduka pro vs lululemon the mat",done,,comparison capstone for brand-review trio; published 2026-06-14 research-based,review
alo vs lululemon yoga mat,comparison,mat-comparisons,yoga-mat-reviews,70,0,commercial,"alo vs lululemon yoga mat,alo warrior mat vs lululemon the mat",done,,"live 2026-07-26 als /guides/alo-vs-lululemon-yoga-mat; hermeten 26 jul: mat-bucket klein (70 hoofdterm + 40/30/20 varianten, eigen reeksen = ~160/mo totaal) maar kd ~0 en gem. 0,1 backlinks; 'alo vs lululemon' 2900/mo is de KLEDING-vergelijking (categorie apparel) - niet meenemen",
chair yoga for beginners,pillar,chair-yoga-for-seniors,chair-yoga-for-seniors,1600,19,informational,"beginner chair yoga,chair yoga exercises for beginners,easy chair yoga",done,,could be section under chair yoga for seniors or separate beginner page,
free 28 day chair yoga for seniors,cluster,free-chair-yoga,chair-yoga-for-seniors,1300,0,informational,"28 day chair yoga for seniors,free chair yoga challenge for seniors,chair yoga plan for seniors",todo,,program/challenge seed; avoid fake downloadable promises unless created,
yoga for balance,cluster,balance,yoga-for-back-pain,6600,5,informational,"yoga poses for balance,balance yoga for seniors,yoga for better balance",todo,,health/support seed; likely could fit senior cluster too,
face yoga for jowls,cluster,face-yoga,face-yoga,1600,0,informational,"face yoga jowls,face exercises for jowls,face yoga for jawline",todo,,separate face-yoga seed; verify brand fit before publishing,
yoga for runners,cluster,runners,yoga-for-flexibility,2400,4,informational,"yoga poses for runners,yoga stretches for runners,post run yoga",todo,,fitness support cluster seed,
yoga poses for 2,cluster,partner-yoga,partner-yoga,14800,2,informational,"yoga poses for two people,yoga poses for two,yoga poses for 2 people,partner yoga poses,easy yoga poses for two",todo,,high-volume partner keyword; likely primary merge with two people page,
yoga poses for 3,cluster,group-yoga,partner-yoga,2900,0,informational,"yoga poses for three people,3 person yoga poses,group yoga poses",todo,,group yoga low KD seed; visual content opportunity,
easy kid yoga poses for 2,cluster,kids-yoga,kids-yoga,1200,2,informational,"easy kids yoga poses for two,kid yoga poses for 2,partner yoga poses for kids",todo,,family/partner hybrid; age-safe content required,
how to clean a yoga mat,cluster,mat-care,yoga-mat-reviews,4400,8,informational,"how to clean yoga mat,clean yoga mat naturally,yoga mat cleaner",done,,how-to low KD seed; strong internal links to mat reviews; user seed brief: content-briefs/seed-how-to-clean-a-yoga-mat.md; verify SERP/PAA before marking briefed,how-to
how to clean lululemon yoga mat,cluster,mat-care,yoga-mat-reviews,880,6,informational,"clean lululemon yoga mat,lululemon mat cleaning,how to wash lululemon yoga mat",done,,"live 2026-07-26 als /guides/how-to-clean-lululemon-yoga-mat; eigen bucket (880, reeks wijkt af van generiek clean); secundaire buckets: lululemon yoga mat care/mat cleaner (390) + wash-variant (50); bewust onbemonetariseerd, funnelt naar /reviews/lululemon",
how to wash a yoga mat,cluster,mat-care,yoga-mat-reviews,4400,8,informational,"how to wash yoga mat,washing yoga mat,can you wash a yoga mat",merged,,"MERGED, niet apart bouwen — zelfde Google Ads-bucket als 'how to clean a yoga mat' (identieke 12-maandsreeks + identieke SERP, DFS 26 jul); gedekt door /guides/how-to-clean-a-yoga-mat waar de wash-variant is ingebouwd (badkuipwas + meta). Status bewust 'merged': bij 'done' zet de sync hem terug op todo en blijft de tracker hem aanbevelen.",
how thick should a yoga mat be,cluster,mat-buying-guide,yoga-mat-reviews,390,8,informational,"yoga mat thickness,what thickness yoga mat is best,how thick yoga mat for beginners",done,,buying-guide support seed; live per 2026-05-29 audit,concept
how to use yoga mat strap,cluster,mat-care,how-to-choose-a-yoga-mat,140,0,informational,"how to tie yoga mat strap,how to tie yoga mat with strap,how to use a yoga strap for mat,yoga mat carrying strap",done,codex,"Live 2026-07-26 as /guides/how-to-use-yoga-mat-strap; DataForSEO US volume 140 KD0 plus tie variant 110 KD0; live SERP confirms visual equipment-setup intent distinct from the carrier buying guide; covers carry sling, D-ring and plain-webbing methods without pose instruction",how-to
yoga mat on carpet,cluster,gear/mats,how-to-choose-a-yoga-mat,590,0,transactional,"best yoga mat on carpet,can you use a yoga mat on carpet,yoga on carpet,yoga mat for carpet",done,codex,"Live 2026-07-26 as /guides/yoga-mat-on-carpet; DataForSEO US volume 590 KD0 plus best variant 70 KD0; live SERP confirms a distinct home-floor setup intent beyond the existing thickness paragraph; stability-first low/medium/plush pile guidance without pose instruction or unsupported product ranking",guide
yoga mat vs exercise mat,comparison,mat-comparisons,how-to-choose-a-yoga-mat,320,0,informational,"exercise mat vs yoga mat,fitness mat vs yoga mat,yoga mat vs fitness mat,yoga vs exercise mat",done,codex,"Live 2026-07-26 as /guides/yoga-mat-vs-exercise-mat; DataForSEO variants share one 320/mo US bucket at KD0-2; live SERP confirms a functional equipment-comparison intent distinct from the Pilates roundup and general buying guide; current official-source examples without hands-on claims",comparison
yoga rug,cluster,gear/mats,how-to-choose-a-yoga-mat,1000,0,transactional,"rug for yoga,cotton yoga rug,yoga rug vs mat,mysore yoga rug,yoga cotton rug",done,codex,"Live 2026-07-26 as /guides/yoga-rug-vs-mat; DataForSEO main practice-rug bucket 1000/mo US KD0 plus cotton cluster 170 and vs variant 70; live SERP confirms distinct woven-equipment intent despite decorative noise; current Manduka, JadeYoga and Hugger Mugger specs with product-specific floor and care boundaries",guide
yoga mat alternatives,cluster,gear/mats,how-to-choose-a-yoga-mat,170,0,informational,"alternatives for yoga mat,alternatives to yoga mat,what can i use instead of a yoga mat,yoga without a mat,can you do yoga without a mat",done,codex,"Live 2026-07-26 as /guides/yoga-mat-alternatives; DataForSEO main alternatives bucket 170/mo US KD0 plus 110 word-order bucket and 70 no-mat bucket; live SERP confirms one substitution-decision intent distinct from focused rug, towel, carpet and exercise-mat pages; function-led equipment comparison without pose instruction",guide
how to choose a yoga mat,pillar,yoga-mat-reviews,yoga-mat-reviews,110,4,informational,"yoga mat buying guide,how to choose a yoga mat,yoga mat guide,best yoga mat material,yoga mat thickness guide",done,,launch pillar seed from launch-cluster strategy; verify target keyword and publish after 4-6 mat cluster posts exist; realigned to live pillar primary kw (was yoga mat buying guide); live per 2026-05-29 audit; 2026-07-25 DFS: whole deduplicated query set is only ~510/mo US (how to choose a yoga mat 110 and how to pick a yoga mat 110 share one identical 12-month series = ONE bucket; + what to look for 90, buying a yoga mat 260
how to store a yoga mat,cluster,mat-care,how-to-choose-a-yoga-mat,90,0,informational,"yoga mat storage,store yoga mat,how to keep yoga mat clean",done,,launch cluster support seed; verify SV/KD and SERP before briefing,how-to
how long does a yoga mat last,cluster,mat-care,how-to-choose-a-yoga-mat,110,0,informational,"when to replace yoga mat,yoga mat lifespan,how often replace yoga mat",done,codex,"Live 2026-07-26 as /guides/how-long-does-a-yoga-mat-last; DataForSEO volume 110 KD0; function-led replacement intent",guide
best travel yoga mat,subpillar,gear/mats,yoga-for-beginners,720,22,commercial,"travel yoga mat,best lightweight yoga mat,foldable yoga mat",merged,codex,"Merged into best-foldable-yoga-mat after 2026-07-26 SERP overlap review; do not create a competing URL",roundup
eco friendly yoga mat,subpillar,gear/mats,yoga-for-beginners,2900,0,commercial,"best eco-friendly yoga mat,eco friendly yoga mat,non toxic yoga mat,best natural rubber yoga mat",done,,launch cluster commercial seed; verify sustainability claims carefully; realigned to live primary kw (was best eco-friendly yoga mat); live per 2026-05-29 audit,roundup
manduka pro vs liforme,comparison,mat-comparisons,yoga-mat-reviews,20,0,commercial,"manduka vs liforme,manduka pro vs liforme original,liforme vs manduka pro",done,codex,"Live 2026-07-26 as /guides/manduka-pro-vs-liforme; DFS volume 20 KD0; live SERP confirms premium purchase-comparison intent; official-source specification and policy comparison without hands-on claim",comparison
best yoga mats,cluster,gear/mats,yoga-for-beginners,4400,5,commercial,"best yoga mats 2026,best yoga mat overall,top yoga mats compared",done,,affiliate hub (best-yoga-mats-2026); live per 2026-05-29 audit,roundup
best yoga mat for bad knees,subpillar,gear/mats,yoga-for-beginners,140,8,commercial,"yoga mat for bad knees,best yoga mat for knees,thick yoga mat for bad knees",done,,roundup spoke; live per 2026-05-29 audit,roundup
cork vs rubber yoga mat,comparison,mat-comparisons,yoga-mat-reviews,20,0,informational,"cork yoga mat vs rubber,rubber vs cork yoga mat,cork or rubber yoga mat,yoga mat cork vs rubber",done,claude,"versus page-type; footprint-breaker; links eco-spoke + latex content; drafted 2026-05-29; vol/kd from Ahrefs US 2026-05-08 snapshot; KD 0, SERP = Reddit + niche blogs (DR 1-25), winnable; low volume but footprint-breaker + internal-link node",versus
yoga mat towel,subpillar,gear/towels,yoga-mat-reviews,9900,4,transactional,"yoga towel,best yoga mat towel,hot yoga towel,non slip yoga towel",done,,"al gebouwd 25 jul als /guides/best-yoga-mat-towel (4 picks, welke-slip-heb-je-frame); deze rij was aanvankelijk dubbel toegevoegd — pagina bestond al",roundup
suede yoga mat,subpillar,gear/mats,how-to-choose-a-yoga-mat,210,0,transactional,"vegan suede yoga mat,microfiber suede yoga mat,suede yoga mat for hot yoga,best suede yoga mat",done,codex,"Live 2026-07-26 as /guides/suede-yoga-mat; DataForSEO US volume 210 KD0; live SERP confirms product/material-guide intent distinct from towel and hot-yoga roundups; three official-source constructions without hands-on claims",guide
weight of yoga mat,subpillar,gear/mats,how-to-choose-a-yoga-mat,140,4,informational,"yoga mat weight,how much does a yoga mat weigh,average yoga mat weight,lightweight yoga mat weight",done,codex,"Live 2026-07-26 as /guides/yoga-mat-weight; DataForSEO US volume 140 KD4; live SERP confirms weight comparison intent distinct from size and thickness; seven current official-source examples normalized by area without hands-on claims",guide
open cell vs closed cell yoga mat,comparison,mat-comparisons,how-to-choose-a-yoga-mat,50,0,informational,"open-cell vs closed-cell yoga mat,closed cell vs open cell yoga mat,open cell yoga mat,closed cell yoga mat",done,codex,"Live 2026-07-26 as /guides/open-cell-vs-closed-cell-yoga-mat; DataForSEO US deduplicated punctuation cluster volume 50 KD0; live SERP confirms construction-comparison intent distinct from hot-yoga, grip and cleaning URLs; five current official-source constructions with layered-mat correction",comparison
high density yoga mat,subpillar,gear/mats,how-to-choose-a-yoga-mat,320,5,transactional,"yoga mat high density,high density foam yoga mat,yoga mat density,dense yoga mat",done,codex,"Live 2026-07-26 as /guides/high-density-yoga-mat; DataForSEO US volume 320 KD5 plus high-density-foam cluster 110 KD0; product-led SERP distinct from thickness and weight; six current official-source constructions with transparent apparent-density calculations",guide
wool yoga mat,subpillar,gear/mats,how-to-choose-a-yoga-mat,260,0,informational-commercial,"yoga mat wool,merino wool yoga mat,sheepskin yoga mat,wool mat for yoga",done,codex,"Prepared 2026-07-26 as /guides/wool-yoga-mat; DataForSEO US volume 260 KD0; live SERP is a distinct material/product-guide intent centered on slow practice and meditation; current official-source constructions used without hands-on claims",guide
hemp yoga mat,subpillar,gear/mats,how-to-choose-a-yoga-mat,170,0,transactional,"yoga mat hemp,hemp yoga rug,natural hemp yoga mat",done,codex,"Prepared 2026-07-26 as /guides/hemp-yoga-mat; DataForSEO US volume 170 KD0; live SERP confirms distinct product/material intent spanning woven, PER and rubber-backed constructions; primary crop evidence plus current product specifications, without hands-on or medical claims",guide
cotton yoga mat,subpillar,gear/mats,how-to-choose-a-yoga-mat,880,0,transactional,"cotton mat yoga,yoga mat cotton,organic cotton yoga mat,cotton yoga rug",done,codex,"Prepared 2026-07-26 as /guides/cotton-yoga-mat; DataForSEO US volume 880 KD0 plus organic cotton yoga mat 590 KD0; SERP confirms distinct material/product intent spanning woven, dotted, bonded and padded constructions; separated from yoga-rug-vs-mat by owning cotton standards, certification and care",guide
